seed,params_mean,params_std,params_median,params_percentile_5,params_percentile_10,params_percentile_20,params_percentile_50,params_below_1,params_below_01,params_below_001,params_below_0001
29055,0.05665922,0.03979578,0.052216314,0.0057636780431494115,0.012020748294889928,0.023328392207622534,0.052216313779354095,0.8975159519574025,0.08366495468399263,0.009089302852278248,0.00094567299390834
54100,0.05670188,0.04037474,0.051460452,0.005575087643228472,0.011560387816280127,0.022475290298461913,0.051460450515151024,0.8885009376418007,0.08699789984299017,0.00925795790851668,0.0009657509767938674
20713,0.057566676,0.04069658,0.0525968,0.005603527743369342,0.01177765764296055,0.023153754323720934,0.0525968000292778,0.8857361993984636,0.08559244104100326,0.0091635913889547,0.0007910725256897791
9221,0.05702793,0.040833022,0.051648803,0.005715138488449157,0.011626762710511686,0.02253662236034871,0.05164880119264126,0.8864489677908999,0.08619879612414619,0.008836320267920604,0.0008151661051524119
77796,0.058043413,0.040315866,0.053594943,0.006375048169866204,0.012851648777723315,0.024315597862005232,0.05359494313597679,0.8897497881772806,0.07747491256038454,0.008019146364479639,0.0008151661051524119
31952,0.056305435,0.040128138,0.050758094,0.005288601946085691,0.010926402267068624,0.021670523285865786,0.05075809545814991,0.8860735095109404,0.09183468592011372,0.009577197836396564,0.0009978757494107113
31398,0.05781197,0.039394822,0.05371689,0.0068715386791154765,0.013454277440905571,0.02465864680707455,0.05371689051389694,0.8944319737861856,0.07289713246248429,0.007685851848579884,0.0007970959205554373
25742,0.05777597,0.039752226,0.05366271,0.006546862842515111,0.013097255118191244,0.02432643547654152,0.05366271175444126,0.89425930313337,0.07543097390263785,0.00796092021411161,0.0007810335342470154
64241,0.058042984,0.04159846,0.052769132,0.005706792743876578,0.01181789478287101,0.023286565020680428,0.05276913195848465,0.88321641254633,0.08497002357155191,0.008996944131004823,0.0008854390452517579
71368,0.056809634,0.041210625,0.051007804,0.005320421443320811,0.01097588436678052,0.021654281020164493,0.05100780352950096,0.8820237803629296,0.0914451730521345,0.009422597368178003,0.0010059069425649222
79179,0.05640576,0.042091567,0.049963094,0.005039445497095585,0.010386501997709276,0.0206412959843874,0.04996309615671635,0.8806785555095993,0.09627392793610383,0.010149420348634095,0.0010400395134703188
64128,0.057190362,0.03930413,0.052824736,0.005891911406069994,0.012119841761887075,0.023650832474231727,0.05282473377883434,0.8925908227555827,0.08300438904705877,0.008517080340040718,0.0008372518863264921
41907,0.05621037,0.040884763,0.050471,0.0053949744906276464,0.010931223817169669,0.02134291306138039,0.050471002236008644,0.8872179545354155,0.09169614783820358,0.009396495990426818,0.0009637431785053147
