epoch,training_loss,testing_loss,training_accuracy,testing_accuracy
61,158.51424551010132,1274.205795288086,99.975,97.77
62,158.2009482383728,1274.5023803710938,99.975,97.76
63,157.89282846450806,1275.0686340332031,99.975,97.77
64,157.62792110443115,1275.4125671386719,99.975,97.77
65,157.3813557624817,1275.5105743408203,99.975,97.77
66,157.158700466156,1275.8328704833984,99.975,97.77
67,156.97729110717773,1275.8651885986328,99.975,97.75
68,156.7891845703125,1276.2988891601562,99.975,97.76
69,156.63450384140015,1276.5501098632812,99.975,97.76
70,156.47237968444824,1276.8117980957031,99.975,97.77
71,156.329815864563,1277.0419616699219,99.975,97.77
72,156.20916271209717,1277.1770782470703,99.975,97.77
73,156.09875345230103,1277.2693634033203,99.975,97.77
74,156.00048875808716,1277.4859161376953,99.975,97.77
75,155.90692710876465,1277.532730102539,99.975,97.77
76,155.82384991645813,1277.688491821289,99.975,97.77
77,155.74895763397217,1277.7929382324219,99.975,97.77
78,155.6770257949829,1277.8861083984375,99.975,97.77
79,155.6161584854126,1278.0093994140625,99.975,97.77
80,155.55895233154297,1278.1224060058594,99.975,97.77
81,155.50851202011108,1278.1412506103516,99.975,97.77
82,155.46328258514404,1278.253677368164,99.975,97.77
83,155.42223691940308,1278.2770538330078,99.975,97.77
84,155.38232421875,1278.2925109863281,99.975,97.77
85,155.34889030456543,1278.3944396972656,99.975,97.77
86,155.31692028045654,1278.4359436035156,99.975,97.77
87,155.28768587112427,1278.438720703125,99.975,97.77
88,155.26232624053955,1278.4573974609375,99.975,97.77
89,155.2387557029724,1278.485336303711,99.975,97.77
90,155.21740531921387,1278.5386657714844,99.975,97.77
91,155.1985068321228,1278.5562133789062,99.975,97.77
92,155.18089199066162,1278.5891418457031,99.975,97.77
93,155.16592359542847,1278.627197265625,99.975,97.77
94,155.1514048576355,1278.6386413574219,99.975,97.77
95,155.1380100250244,1278.6554565429688,99.975,97.77
96,155.12646532058716,1278.6576538085938,99.975,97.77
97,155.11626482009888,1278.6815338134766,99.975,97.77
98,155.10659742355347,1278.6976318359375,99.975,97.77
99,155.09788179397583,1278.7006530761719,99.975,97.77
100,155.0901608467102,1278.7212982177734,99.975,97.77
