sample,step,train_loss,test_loss
0,-0.1,0.5015512288411458,0.5729847534179687
0,-0.09,0.36228095397949217,0.4318231689453125
0,-0.08,0.25735325419108074,0.32494046630859375
0,-0.07,0.18107086893717447,0.2465917236328125
0,-0.06,0.1273028579711914,0.19082247009277345
0,-0.05,0.09026738154093425,0.1520231231689453
0,-0.04,0.06527949625651042,0.12557554931640624
0,-0.03,0.048989940134684246,0.10795458679199219
0,-0.02,0.038997408548990885,0.09667895202636718
0,-0.01,0.03367176946004232,0.09024768981933594
0,0.0,0.03194182383219401,0.08779665985107422
0,0.01,0.033566810607910155,0.08891218719482422
0,0.02,0.03831019134521484,0.09348684539794921
0,0.03,0.0465967965443929,0.10185203704833984
0,0.04,0.059196790822347,0.11440852203369141
0,0.05,0.07711455739339193,0.13212435455322266
0,0.06,0.10172970835367838,0.1562244110107422
0,0.07,0.13489966379801432,0.1883359588623047
0,0.08,0.17906001485188802,0.23066170043945314
0,0.09,0.23721788736979166,0.2860216156005859
0,0.1,0.3127926035563151,0.35829931640625
1,-0.1,0.361433056640625,0.422489501953125
1,-0.09,0.27637407938639325,0.33617102661132814
1,-0.08,0.20754021301269532,0.26677376708984374
1,-0.07,0.15371710764567056,0.21299874877929686
1,-0.06,0.11309464467366537,0.1725042724609375
1,-0.05,0.08341222991943359,0.14267277221679686
1,-0.04,0.0623854248046875,0.12125537109375
1,-0.03,0.048029978434244794,0.10618474273681641
1,-0.02,0.03880357182820638,0.09607391815185547
1,-0.01,0.033639103698730466,0.09006219482421875
1,0.0,0.031941823450724285,0.08779665069580078
1,0.01,0.03376533139546712,0.08918995971679687
1,0.02,0.03917951927185059,0.09451951141357422
1,0.03,0.04899680786132812,0.10429385223388672
1,0.04,0.06459386138916015,0.11976646575927734
1,0.05,0.0878832036336263,0.1429903030395508
1,0.06,0.12143533579508463,0.17692384338378905
1,0.07,0.16862730865478515,0.22505079650878906
1,0.08,0.23353654479980468,0.2912347930908203
1,0.09,0.32089503072102865,0.3799131896972656
1,0.1,0.4360423889160156,0.4961208190917969
2,-0.1,0.3557803873697917,0.42559551391601563
2,-0.09,0.26254937947591145,0.33071553955078126
2,-0.08,0.19271572977701823,0.25859291076660157
